query,job_url,backstory
advanced scaffolder,https://www.seek.com.au/job/36766159,You left school with good qualifications and then went straight into work. You have worked you whole life doing various jobs but your most recent and longest serving job was beeing a scaffolder. You have been part of a biggish team where you go around the country putting scaffolding up to various buildings.
advanced scaffolder,https://www.seek.com.au/job/36766160,You have  been a freelancer for 10 years and are looking to further your career by taking on bigger contracts. You hold a valid and  nationally recognised high risk licence. You have 5 years of experience within a live plant maintenance and possess a current advanced rigging qualification. You possess a nationally accredited OHS card and current working at heights .
advanced scaffolder,https://www.seek.com.au/job/36766161,You have 5 years experience as a advanced scaffolder holding a high risk license. You are advanced rig qualified and have worked at various heights during the last 2 years. You are able to pass a medical screen with alcohol and drug screening.
advanced scaffolder,https://www.seek.com.au/job/36766162,Your name is Peter. You are 35 years of age. You are an advanced scaffolder. You have seven years experience as an advanced scaffolder. You worked for two companies as a full time advanced scaffolder. Your last job was terminated because the company closed down.
advanced scaffolder,https://www.seek.com.au/job/36766163,"You are William, a professional Scaffolder with five years experience in scaffold work. You hold certification in high risk scaffolding, rigging qualifications and your high height certification is current. You hold a blue / white current OHS card. You have experience in working on  scaffolding on oil rigs in deep ocean and am accustomed to high safety environments where attention to detail and established procedure is a must. You are accustomed to working at remote locations for long periods of time and working in a team environment."
advanced scaffolder,https://www.seek.com.au/job/36766164,You pride yourself on your knowledge and experience  but have trouble finding consistent long term opportunity in your area.  You regularly perform this search on the off-chance a new project is on the horizon.
advanced scaffolder,https://www.seek.com.au/job/36766165,You have been working for the past nine years as a scaffolder for a company that helped you to get all of your certifications and qualifications.  You have enjoyed your job and are very happy in your field. You return home from work one evening to find that your home has burned to nothing and you have absolutely nothing left. Your parents live in Port Hedland and you realize that you are going to need to return home until you can rebuild or start over. You start seeking for comparable jobs in the area of your parents' residence.
advanced scaffolder,https://www.seek.com.au/job/36766166,"You are someone who is living in the Port Hedland that is looking for full time work as a scaffolder. You have 6 years of experience as an advanced scaffolder holding a valid and nationally recognized high risk license. You also have 6 years previous experience with in a live plant maintenance environment preferably with in oil and gas. You have current advanced rigging qualification and current working at heights. You hold a nationally accredited OHS card. You can pass a project specific pre-employment medical, including a drug and alcohol screen. You have a flexible and adaptable attitude."
advanced scaffolder,https://www.seek.com.au/job/36766167,You have at least three to five years experience as an advanced scaffolder holding a valid high risk license as well three to five years previous live plant maintenance with oil and gas plants. You have an advanced rigging qualification and currwently work at heights.
advanced scaffolder,https://www.seek.com.au/job/36766168,Your name is Joseph. You are a 32 years old scaffolder with five years of experience in the field. You are married with three children  looking for a new contract with a high salary and lots of benefits.
bdm,https://www.seek.com.au/job/36686506,You currently work in banking in business management and you like the job but you don't like the commute. You are looking for something closer to home so you can take a bus or even a bike into work when the weather is nice.
bdm,https://www.seek.com.au/job/36686507,You have three years experience in business development and are currently seeking a position in a company that allows for more room to grow and learn and are looking to stay within the Melbourne area.
bdm,https://www.seek.com.au/job/36686508,Your name is Connor you are 32 years old married with 2 kids living in Melbourne. Your are looking for a new full time job as Business development manager. You have 5 years of experience in the area and you are looking for a great salary
bdm,https://www.seek.com.au/job/36686509,"Your name is Christie, you are twenty eight years old and currently live in Melbourne.  You have more than six years of experience working as development manager or in similar roles. You  are able to work without supervision and have the ability to manage both internal and external relationships. You have experience in the lending and credit sector and would like to contribute your skills and experience."
bdm,https://www.seek.com.au/job/36686510,"You are Charles, a professional business man with twenty years experience in commercial lending. The company you worked for is a leader in non banking commercial lending. Your role has been to develop clients across broad business categories and service their lending needs. You provide lending to all types of commercial enterprises from warehouses, shipping, manufacturing and internet based businesses. Last month you accepted an early retirement package from your current employer and are now seeking the next challenge in your career."
bdm,https://www.seek.com.au/job/36686511,You are seeking a full time position in business development management. You are seeking a position in the banking industry. You are highly skilled in finding and bringing in new business. You are currently as tier 2 manager and wish to be a senior manager.
bdm,https://www.seek.com.au/job/36686512,You have been working for a financial investment company as a business development analyst and now want to move up a step in your career to management level following many years of experience in the field.
bdm,https://www.seek.com.au/job/36686513,You spent many years as a long-haul truck driver. You're ready to get off the road and move into a position closer to home. You have high school education but you're eager to learn and adept at picking up new things.
bdm,https://www.seek.com.au/job/36686514,You have worked for a national bank in the lending department for ten years. You have a degree in finance. You are looking for something in the industry that is a bit less restrictive than actual banking.
bdm,https://www.seek.com.au/job/36686515,You are a 40 year old male with 15 years experience in leanding space. You are a hard worker who pays attention to detail and has lots of customer service experience. You are great at networking and collaborating with others on a team. You posses vast knowledge in customer relations.
border force,https://www.seek.com.au/job/36633518,"You are 29 years old. You have a degree in law and post graduate degree, also in law overseas. You have six years of experience as a lawyer. You have previously worked for two other companies as a lawyer. You are currently looking for a full time job."
border force,https://www.seek.com.au/job/36633519,You have been working as a border force agent in New Zealand and want to move to Australia to find better prospects to further your career. You would like to find an officer level role in a large airport in Sydney or Melbourne ideally so you can get a taste of mainland city life.
border force,https://www.seek.com.au/job/36633520,Your name is Larry and you are forty two years old. You have twenty years of experience in border force working in airports across Australia. You have a driver's licence and are willing to travel for work.
border force,https://www.seek.com.au/job/36633521,"You recently graduated from the police academy and are interested in border patrol opportunities. You have no experience, so you are looking for an entry level position and/or training information for this type of position."
border force,https://www.seek.com.au/job/36633522,You are seeking employment as a border agent. You have experience from a previous job. You are seeking full time employment within a reputable company.
border force,https://www.seek.com.au/job/36633523,"You are David, a 29 years old security officer with 5 years of experience in border patrol looking for a new full time job related to border force. You are searching for a job  with a great pay and lots of benefits."
border force,https://www.seek.com.au/job/36633524,You have recently been laid of of work. You live in the Sydney area and have vast experience in the border force field. You are seeking a full time position with the company and want to start immediately.
border force,https://www.seek.com.au/job/36633525,You have worked your whole life after leaving university. You speak three languages and have all the relivent vocational qualifications. You have a clean drivers licence and no criminal record You're looking foward to a new challenge.
border force,https://www.seek.com.au/job/36633526,Your name is Steve and you are 18 and have recently graduated High School and have interest in joining the Military in the U.K. You would like an opportunity with Border Force possibly working at Sea on a ship.
border force,https://www.seek.com.au/job/36633527,You have 5 years experience in working with the border force. Your previous company closed its doors and you're seeking new employment in this field. You took drafting in college and are knowledgeable in it. You have worked with several different types of people.
